country,food_category,consumption,co2_emmission
South Africa,¼ÒÇİ,37.57,40.36
South Africa,Å£Èâ,18.03,556.37
South Africa,ÑòÈâ,4.28,149.89
South Africa,ÓãÈâ,5.56,8.88
South Africa,¼¦µ°,7.21,6.62
South Africa,Å£ÄÌ,55.75,79.41
South Africa,Ğ¡Âó,60.13,11.47
South Africa,´óÃ×,17.41,22.28
South Africa,»Æ¶¹,1.27,0.57
South Africa,¼á¹û,1.04,1.84
Barbados,ÖíÈâ,8.3,29.38
Barbados,¼ÒÇİ,42.62,45.78
Barbados,Å£Èâ,13.13,405.16
Barbados,ÑòÈâ,4.08,142.88
Barbados,ÓãÈâ,37.41,59.73
Barbados,¼¦µ°,9.61,8.83
Barbados,Å£ÄÌ,110.48,157.37
Barbados,Ğ¡Âó,65.71,12.53
Barbados,´óÃ×,15.66,20.04
Barbados,»Æ¶¹,0.1,0.05
Barbados,¼á¹û,4.16,7.36
Lithuania,ÖíÈâ,45.67,161.65
Lithuania,¼ÒÇİ,26.84,28.83
Lithuania,Å£Èâ,4.49,138.55
Lithuania,ÑòÈâ,0.24,8.4
Lithuania,ÓãÈâ,42.39,67.68
Lithuania,¼¦µ°,13.11,12.04
Lithuania,Å£ÄÌ,295.46,420.85
Lithuania,Ğ¡Âó,121.59,23.19
Lithuania,´óÃ×,3.07,3.93
Lithuania,»Æ¶¹,0.02,0.01
Lithuania,¼á¹û,2.13,3.77
Turkey,ÖíÈâ,0.01,0.04
Turkey,¼ÒÇİ,18.78,20.17
Turkey,Å£Èâ,11.64,359.19
Turkey,ÑòÈâ,4.68,163.89
Turkey,ÓãÈâ,5.58,8.91
Turkey,¼¦µ°,8.2,7.53
Turkey,Å£ÄÌ,193.94,276.25
Turkey,Ğ¡Âó,169.96,32.41
Turkey,´óÃ×,10.74,13.74
Turkey,»Æ¶¹,1.71,0.77
Turkey,¼á¹û,7.97,14.11
Estonia,ÖíÈâ,29.68,105.05
Estonia,¼ÒÇİ,21.11,22.68
Estonia,Å£Èâ,7.19,221.87
Estonia,ÑòÈâ,0.44,15.41
Estonia,ÓãÈâ,12.78,20.41
Estonia,¼¦µ°,12.66,11.63
Estonia,Å£ÄÌ,284.85,405.74
Estonia,Ğ¡Âó,89.36,17.04
Estonia,´óÃ×,2.56,3.28
Estonia,»Æ¶¹,0.04,0.02
Estonia,¼á¹û,4.29,7.59
Mexico,ÖíÈâ,15.23,53.91
Mexico,¼ÒÇİ,30.12,32.35
Mexico,Å£Èâ,15.33,473.05
Mexico,ÑòÈâ,0.89,31.17
Mexico,ÓãÈâ,7.56,12.07
Mexico,¼¦µ°,18.34,16.85
Mexico,Å£ÄÌ,111.87,159.35
Mexico,Ğ¡Âó,35.21,6.71
Mexico,´óÃ×,5.64,7.22
Mexico,»Æ¶¹,0.02,0.01
Mexico,¼á¹û,2.51,4.44
Costa Rica,ÖíÈâ,10.28,36.39
Costa Rica,¼ÒÇİ,24.47,26.29
Costa Rica,Å£Èâ,15.23,469.97
Costa Rica,ÑòÈâ,0.02,0.7
Costa Rica,ÓãÈâ,11.32,18.07
Costa Rica,¼¦µ°,10.55,9.69
Costa Rica,Å£ÄÌ,183.28,261.06
Costa Rica,Ğ¡Âó,39.31,7.5
Costa Rica,´óÃ×,45.69,58.47
Costa Rica,»Æ¶¹,1.54,0.69
Costa Rica,¼á¹û,1.38,2.44
Bolivia,ÖíÈâ,8.89,31.47
Bolivia,¼ÒÇİ,34.31,36.86
Bolivia,Å£Èâ,19.78,610.37
Bolivia,ÑòÈâ,1.72,60.23
Bolivia,ÓãÈâ,2.18,3.48
Bolivia,¼¦µ°,5.18,4.76
Bolivia,Å£ÄÌ,46.04,65.58
Bolivia,Ğ¡Âó,49.99,9.53
Bolivia,´óÃ×,26.99,34.54
Bolivia,»Æ¶¹,0.01,0
Bolivia,¼á¹û,9.16,16.21
Ecuador,ÖíÈâ,14.44,51.11
Ecuador,¼ÒÇİ,21.85,23.47
Ecuador,Å£Èâ,16.61,512.55
Ecuador,ÑòÈâ,0.44,15.41
Ecuador,ÓãÈâ,5.17,8.25
Ecuador,¼¦µ°,8.01,7.36
Ecuador,Å£ÄÌ,139.6,198.85
Ecuador,Ğ¡Âó,39.19,7.47
Ecuador,´óÃ×,45.07,57.68
Ecuador,»Æ¶¹,0,0
Ecuador,¼á¹û,0.98,1.73
Panama,ÖíÈâ,13.48,47.71
Panama,¼ÒÇİ,30.81,33.1
Panama,Å£Èâ,20.4,629.5
Panama,ÑòÈâ,0.01,0.35
Panama,ÓãÈâ,11.05,17.64
Panama,¼¦µ°,4.53,4.16
Panama,Å£ÄÌ,70.29,100.12
Panama,Ğ¡Âó,38.96,7.43
Panama,´óÃ×,66.42,85
Panama,»Æ¶¹,3.53,1.59
Panama,¼á¹û,1.05,1.86
Czech Republic,ÖíÈâ,41.17,145.72
Czech Republic,¼ÒÇİ,19.09,20.51
Czech Republic,Å£Èâ,8.15,251.49
Czech Republic,ÑòÈâ,0.34,11.91
Czech Republic,ÓãÈâ,8.25,13.17
Czech Republic,¼¦µ°,11.66,10.71
Czech Republic,Å£ÄÌ,195.2,278.04
Czech Republic,Ğ¡Âó,92.67,17.67
Czech Republic,´óÃ×,4.79,6.13
Czech Republic,»Æ¶¹,0.82,0.37
Czech Republic,¼á¹û,2.47,4.37
Romania,ÖíÈâ,25.31,89.58
Romania,¼ÒÇİ,15.38,16.52
Romania,Å£Èâ,4.78,147.5
Romania,ÑòÈâ,3.41,119.42
Romania,ÓãÈâ,6.07,9.69
Romania,¼¦µ°,12.94,11.89
Romania,Å£ÄÌ,238.33,339.48
Romania,Ğ¡Âó,134.87,25.72
Romania,´óÃ×,2.59,3.31
Romania,»Æ¶¹,0.01,0
Romania,¼á¹û,1.8,3.19
Colombia,ÖíÈâ,6.51,23.04
Colombia,¼ÒÇİ,27.57,29.62
Colombia,Å£Èâ,16.36,504.84
Colombia,ÑòÈâ,0.21,7.35
Colombia,ÓãÈâ,6.01,9.6
Colombia,¼¦µ°,10.78,9.9
Colombia,Å£ÄÌ,108.47,154.5
Colombia,Ğ¡Âó,29.79,5.68
Colombia,´óÃ×,28.02,35.86
Colombia,»Æ¶¹,0.89,0.4
Colombia,¼á¹û,0.42,0.74
Maldives,ÖíÈâ,1.22,4.32
Maldives,¼ÒÇİ,18.47,19.84
Maldives,Å£Èâ,9.44,291.3
Maldives,ÑòÈâ,0.7,24.51
Maldives,ÓãÈâ,179.71,286.94
Maldives,¼¦µ°,10.79,9.91
Maldives,Å£ÄÌ,111.47,158.78
Maldives,Ğ¡Âó,77.77,14.83
Maldives,´óÃ×,50.73,64.92
