Date,Open,High,Low,Close,Volume,Adj Close
2018/9/22,401.03,409.82,396.7,401.82,34588600,390.79
2018/9/23,400.28,406.74,399.85,404.3,19509900,393.2
2018/9/26,399.86,403.98,391.3,403.17,29031300,392.1
2018/9/27,408.73,409.25,398.06,399.26,22589200,388.3
2018/9/28,400.19,403.74,396.51,397.01,15344200,386.11
2018/9/29,401.92,402.21,386.21,390.57,23253100,379.85
2018/9/30,387.12,388.89,381.18,381.32,19558600,370.85
2018/10/3,380.37,382.64,373.17,374.6,23896400,364.32
2018/10/4,374.57,381.8,354.24,372.5,44059900,362.28
2018/10/5,367.86,379.82,360.3,378.25,28088200,367.87
2018/10/6,373.33,384.78,371.8,377.37,29020800,367.01
2018/10/7,375.78,377.74,368.49,369.8,19123500,359.65
2018/10/10,379.09,388.81,378.21,388.81,15804100,378.14
2018/10/11,392.57,403.18,391.5,400.29,21631700,389.3
2018/10/12,407.34,409.25,400.14,402.19,22224500,391.15
2018/10/13,404.98,408.43,402.85,408.43,15220900,397.22
2018/10/14,416.83,422,415.27,422,20477400,410.42
2018/10/17,421.74,426.7,415.94,419.99,24501600,408.46
2018/10/18,421.76,424.81,415.99,422.24,31485800,410.65
2018/10/19,401.35,408.42,397.8,398.62,39430700,387.68
2018/10/20,400,400.35,394.21,395.31,19616800,384.46
2018/10/21,398.1,399.14,390.75,392.87,22187300,382.09
2018/10/24,396.18,406.5,395.4,405.77,17933500,394.63
2018/10/25,405.03,406.55,397.38,397.77,15372400,386.85
2018/10/26,401.76,402.55,393.15,400.6,16296600,389.6
2018/10/27,407.56,409,401.89,404.69,17666600,393.58
2018/10/28,403,406.35,402.51,404.95,11530100,393.84
2018/10/31,402.42,409.33,401.05,404.78,13767900,393.67
2018/11/1,397.41,399.5,393.22,396.51,18992500,385.63
2018/11/2,400.09,400.44,395.11,397.41,11723400,386.5
2018/11/3,399.07,403.4,395.36,403.07,15763800,392.01
2018/11/4,402.03,403.44,399.16,400.24,10793900,389.25
2018/11/7,399.91,400,396.13,399.73,9652700,388.76
2018/11/8,402.21,408,401.56,406.23,14301500,395.08
2018/11/9,396.97,400.89,394.23,395.28,19953000,384.43
2018/11/10,397.03,397.21,382.15,385.22,26598300,374.65
2018/11/11,386.61,388.7,380.26,384.62,23349500,374.06
2018/11/14,383.52,385.25,378.2,379.26,15460900,368.85
2018/11/15,380.8,389.5,379.45,388.83,15386100,378.16
